#variable: dphipp 
1 	0.0 	6.0 	0.06198314294514898 	4.242204803911183e-05 	0.05808854909629129 	0.06198315185728285 	0.05808854909629129 	0.06198314294514898 	0.06516403466828227 	0.06198315185728285 	0.06516403466828227
2 	6.0 	12.0 	0.06323797928168724 	4.593899149011981e-05 	0.05925338732962517 	0.06323794193783282 	0.05925338732962517 	0.06323797928168724 	0.06649364067276634 	0.06323794193783282 	0.06649364067276634
3 	12.0 	18.0 	0.06698439746373157 	4.763078226775898e-05 	0.06272796488021339 	0.06698439407356131 	0.06272796488021339 	0.06698439746373157 	0.07046738147980988 	0.06698439407356131 	0.07046738147980988
4 	18.0 	24.0 	0.07133698948259132 	4.772828778124753e-05 	0.0667693634321896 	0.07133695988850723 	0.0667693634321896 	0.07133698948259132 	0.075079329053735 	0.07133695988850723 	0.075079329053735
5 	24.0 	30.0 	0.07228244090339651 	4.904461828282672e-05 	0.06766296864120859 	0.07228242642188172 	0.06766296864120859 	0.07228244090339651 	0.07606573926567907 	0.07228242642188172 	0.07606573926567907
6 	30.0 	36.0 	0.0735413696264244 	5.362662613611848e-05 	0.06884951266259186 	0.07354135982911034 	0.06884951266259186 	0.0735413696264244 	0.07738299267486039 	0.07354135982911034 	0.07738299267486039
7 	36.0 	42.0 	0.07487882626533804 	5.298667977164136e-05 	0.07011365408208069 	0.0748788365392937 	0.07011365408208069 	0.07487882626533804 	0.07877883373947271 	0.0748788365392937 	0.07877883373947271
8 	42.0 	48.0 	0.07672430499979273 	4.884122877773822e-05 	0.07185576380309887 	0.07672429527545746 	0.07185576380309887 	0.07672430499979273 	0.08070660632481227 	0.07672429527545746 	0.08070660632481227
9 	48.0 	54.0 	0.07869346000033396 	4.891626174568017e-05 	0.07371325016903506 	0.07869344371005542 	0.07371325016903506 	0.07869346000033396 	0.08276539617560505 	0.07869344371005542 	0.08276539617560505
10 	54.0 	60.0 	0.08088463184689218 	4.812586540926288e-05 	0.07578784953525187 	0.08088465510178408 	0.07578784953525187 	0.08088463184689218 	0.08504862081027399 	0.08088465510178408 	0.08504862081027399
11 	60.0 	66.0 	0.08344337828667162 	4.844931959262189e-05 	0.07820932543348424 	0.08344335988545364 	0.07820932543348424 	0.08344337828667162 	0.08771596824601878 	0.08344335988545364 	0.08771596824601878
